title,originallink,link,description,pubDate,corp_name
"<b>삼성전자</b>, 루브르와 파트너십 체결…더 프레임으로 ‘모나리자’ 감상",https://biz.chosun.com/it-science/ict/2021/09/16/H6GUIA5PUNHUDDY2MNY4CKU43M/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=366&aid=0000761490,"<b>삼성전자</b>는 16일 프랑스 파리에 있는 루브르 박물관과 파트너십을 맺고, 라이프스타일 TV ‘더 프레임’에 루브르 대표 작품을 전시한다고 밝혔다. <b>삼성전자</b>에 따르면 이번 협업으로 더 프레임 사용자는 레오나르도 다... ","Thu, 16 Sep 2021 09:13:00 +0900",삼성전자
"<b>삼성전자</b>, 3분기 반도체 이익 전망↑…주가 반등 기대",http://www.edaily.co.kr/news/newspath.asp?newsid=01597366629180776,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005038746,하나금융투자는 <b>삼성전자</b>(005930)의 올해 3분기 영업이익 전망치를 직전 15조2000억원에서 15조7000억원으로 상향 조정했다. 현재 증권가의 컨센서스는 15조4800억원이다. 메모리와 비메모리 반도체의 수익성 개선이... ,"Thu, 16 Sep 2021 09:26:00 +0900",삼성전자
"<b>삼성전자</b>, 하반기 비메모리 크게 개선 전망-KB",http://www.fnnews.com/news/202109160818218659,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004709984,KB증권은 16일 <b>삼성전자</b>에 대해 하반기 비메모리 부문 실적이 크게 개선될 것으로 봤다. 이에 투자의견 '매수'와 목표주가 10만5000원을 유지했다. 김동원 KB증권 연구원은 &quot;3·4분기 <b>삼성전자</b> 영업이익은 전년 동기... ,"Thu, 16 Sep 2021 08:21:00 +0900",삼성전자
"&quot;반으로 안 접히지?&quot;…<b>삼성전자</b>, 트윗으로 아이폰13 도발",https://www.hankyung.com/it/article/202109156591g,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004605155,애플이 15일(이하 한국시간) 신형 스마트폰 '아이폰13'을 발표한 가운데 <b>삼성전자</b>가 공식 트위터 계정을 통해 이를 저격했다. 애플이 뒤늦게 120Hz(헤르츠) 주사율을 채택한 것과 폴더블 제품이 아닌 점을 거론하면서다.... ,"Wed, 15 Sep 2021 10:24:00 +0900",삼성전자
"&quot;집에서 TV로 '모나리자' 감상&quot;…<b>삼성전자</b>, 佛 루브르와 맞손",http://www.inews24.com/view/1405128,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=031&aid=0000624591,<b>삼성전자</b>가 프랑스 루브르 박물관과 손잡고 모나리자 등 걸작을 '더 프레임'을 통해 선보인다. <b>삼성전자</b>는 루브르와 파트너십을 맺고 라이프스타일 TV '더 프레임'을 통해 루브르 작품을 선보인다고 16일 밝혔다.... ,"Thu, 16 Sep 2021 09:40:00 +0900",삼성전자
&quot;반으로 안 접혀?&quot;…아이폰13 출시일에 애플 저격한 <b>삼성전자</b>,http://news.mk.co.kr/newsRead.php?no=893174&year=2021,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=009&aid=0004853183,<b>삼성전자</b> 미국법인은 이날 공식 트위터에 &quot;우리만 데자뷔처럼 느끼는 것 아니죠?&quot; &quot;반으로 접혔다면 얼마나 더 멋있을까요?&quot;라는 글을 차례로 썼다. 이 게시글이 올라온 시간은 한국시간으로 각각 오전 2시12분과... ,"Wed, 15 Sep 2021 20:26:00 +0900",삼성전자
"<b>삼성전자</b>, 10년 연속 동반성장지수 '최우수'...IT업종 동반성장↑, 中企 체감...",http://www.etnews.com/20210915000184,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=030&aid=0002969832,<b>삼성전자</b>가 10년 연속으로 동반성장지수 최우수 등급을 얻었다. SK텔레콤 등 정보·통신 분야 기업을 필두로 동반성장 실적이 점차 증가 추세다. 다만 매년 증가하는 동반성장 실적과 달리 지난해 중소기업의... ,"Wed, 15 Sep 2021 13:58:00 +0900",삼성전자
"<b>삼성전자</b>, '더 프레임' 통해 루브르 대표 작품 선보인다",http://biz.newdaily.co.kr/site/data/html/2021/09/16/2021091600008.html,http://biz.newdaily.co.kr/site/data/html/2021/09/16/2021091600008.html,뉴데일리 조재범 기자 = <b>삼성전자</b>는 프랑스 파리에 위치한 세계적 박물관 ‘루브르’와 파트너십을 맺고 라이프스타일 TV ‘더 프레임(The Frame)’을 통해 루브르 대표 작품을 선보인다고 16일 밝혔다. <b>삼성전자</b>는... ,"Thu, 16 Sep 2021 08:54:00 +0900",삼성전자
"<b>삼성전자</b>, 더프레임 통해 루브르 대표작 선보인다",http://www.newsis.com/view/?id=NISI20210916_0017954929,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010724259,"<b>삼성전자</b>가 프랑스 파리의 ‘루브르’와 파트너십을 맺고, 라이프스타일 TV ‘더 프레임(The Frame)’을 통해 루브르 대표 작품을 선보인다고 16일 밝혔다. 경기 수원에 위치한 <b>삼성</b> 프리미엄 스토어 갤러리아... ","Thu, 16 Sep 2021 08:29:00 +0900",삼성전자
"<b>삼성전자</b>, 비메모리 실적 개선 주목-KB",https://daily.hankooki.com/lpage/finance/202109/dh20210916084258148350.htm?s_ref=nv,https://daily.hankooki.com/lpage/finance/202109/dh20210916084258148350.htm?s_ref=nv,"KB증권은 16일 <b>삼성전자</b>의 비메모리 실적 개선에 주목했다. 투자의견 '매수', 목표주가 10만5000원을 제시했다. 3분기 <b>삼성전자</b>의 실적은 매출액 71조9000억원, 영업이익 15조4000억원으로 관측됐다. 2018년 3분기 이후... ","Thu, 16 Sep 2021 08:46:00 +0900",삼성전자
