title,originallink,link,description,pubDate,corp_name,E,S,G,value
"백악관 또 반도체회의, 삼성전자 불러놓고 ""내부 정보 내놔""",https://www.joongang.co.kr/article/25009320,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=025&aid=0003137136,"이날 회의에는 삼성전자를 비롯해 TSMC, 인텔, 마이크로소프트(MS), 애플, 제너럴모터스(GM), BMW, 스텔란티스 등 글로벌 반도체‧자동차 업체가 초청돼 참석했다. 이날 반도체 서밋에서는 나아질 기미가 보이지 않는 전 세계...","Fri, 24 Sep 2021 10:11:00 +0900",삼성전자,0,0,0,0
"백악관, 또 반도체 대응 회의···삼성전자도 참석",https://www.sedaily.com/NewsView/22RL705FUP,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=011&aid=0003965329,미국 백악관이 반도체 부족 문제를 해결하기 위해 삼성전자와 애플 등 주요 기업 관계자들이 참석하는 회의를 소집했다. 백악관이 이같은 회의를 소집한 것은 올해 들어서만 세 번째다. 23일(현지 시간) 백악관 등에...,"Fri, 24 Sep 2021 07:47:00 +0900",삼성전자,0,0,0,0
"NAVER, 규제 노이즈에도 투자포인트 `여전`…추가 하락시 `매수` -한국",http://www.edaily.co.kr/news/newspath.asp?newsid=01380886629180448,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=018&aid=0005037673,"한국투자증권은 15일 NAVER(035420)에 대해 장기적인 투자포인트의 본질은 여전히 변하지 않았다고 분석했다. 추가적인 주가 하락 시에는 매수로 대응하는 것이 바람직하다는 판단이다. 투자의견 ‘매수’, 목표주가 54만원을...","Wed, 15 Sep 2021 08:04:00 +0900",네이버,0,0,0,0
'빅테크 규제'에 카카오·네이버를 바라보는 온도차,http://www.newsis.com/view/?id=NISX20210924_0001591799&cID=10401&pID=10400,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010734654,"기사내용 요약카카오 목표가 하향, 네이버는 유지 ""카카오 방향성 맞지만 성장세 둔화"" ""네이버, 앞서 독과점 우려 먼저 겪어"" [서울=뉴시스] 이승주 기자 = 빅테크 규제로 카카오와 네이버가 10거래일 넘게 바닥을 모른 채...","Fri, 24 Sep 2021 11:06:00 +0900",카카오,0,0,0,0
"삼성바이오로직스, 의약품 위탁개발 플랫폼 개발·공개",http://www.fnnews.com/news/202109221321036446,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=014&aid=0004712166,"삼성바이오로직스가 세포주 개발부터 시험계획서(IND) 제출, 그리고 공정 특성확인(PC)부터 품목허가신청(BLA)까지 소요기간을 획기적으로 단축한 의약품 위탁개발(CDO) 플랫폼 ‘에스-셀러레이트(S-Cellerate)’를...","Wed, 22 Sep 2021 13:29:00 +0900",삼성바이오로직스,0,0,0,0
"연일 하락 카카오 시총 5위 자리도 내줬다…LG화학, GM 배터리 재공급 소식에...",http://news.mk.co.kr/newsRead.php?no=909084&year=2021,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=009&aid=0004855311,LG화학이 하루 만에 시총 순위를 두 계단 끌어올리며 5위 자리에 복귀했다. 주가 급락을 일으켰던 GM 볼트 전기차의 배터리 이슈가 일단락되는 모습을 보이면서 투자 심리가 살아난 데 따른 것으로 풀이된다....,"Thu, 23 Sep 2021 13:46:00 +0900",LG화학,0,0,0,0
LG·SK 공격적 투자에 고민 깊어지는 삼성SDI,https://view.asiae.co.kr/article/2021092300070313420,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=277&aid=0004972596,"미국 투자를 검토 중인 삼성SDI의 고민이 깊어지고 있다. LG에너지솔루션과 SK이노베이션이 이미 미국 완성차 1, 2위 기업과 배터리 합작사를 설립한 것과 달리 아직 구체적인 결정을 내리지 못하고 있어서다. 내부에서도...","Thu, 23 Sep 2021 00:04:00 +0900",삼성SDI,0,0,0,0
"삼성SDI vs LG엔솔, '코인셀' 배터리 경쟁 달아오른다",http://www.newspim.com/news/view/20210923000765,http://www.newspim.com/news/view/20210923000765,무선 이어폰에 적용되는 코인셀 배터리 수요가 급증하면서 삼성SDI와 LG에너지솔루션이 코인셀 시장 선점 경쟁을 벌일 전망이다. 애플 무선이어폰 에어팟 프로. [사진=애플 홈페이지] 24일 시장조사기관 카날리스에...,"Fri, 24 Sep 2021 06:03:00 +0900",삼성SDI,0,0,0,0
배터리 '소부장' 둥지 튼 삼성SDI·LG화학 임원들,http://www.fnnews.com/news/202109181428201038,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004711831,"올해 상반기에만 삼성SDI, LG화학 출신 임원급 직원 총 9명이 국내 주요 배터리 소부장 기업에 새 둥지를 틀었다. 21일 한국전지산업협회 소속 상장 회원사의 반기보고서를 분석한 결과, 국내 배터리 제조 3사 근무...","Tue, 21 Sep 2021 06:01:00 +0900",삼성SDI,0,0,1,0
"현대차, 3분기 '흑자 전환'…반도체 수급난에도 '미국·유럽' 수요는 호재",http://www.etnews.com/20210924000004,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=103&oid=030&aid=0002971059,현대차가 3분기 흑자로 전환할 전망이다. 작년 3분기 대규모 품질 비용을 반영했던 기저효과 영향이다.... 23일 에프앤가이드에 따르면 현대차 3분기 영업이익 컨센서스(증권사 전망치 평균)는 1조7990억원으로 작년...,"Fri, 24 Sep 2021 08:18:00 +0900",현대차,0,0,0,0
