title,originallink,link,description,pubDate
"&quot;갤럭시Z플립3, 폴더블폰 중 최다 판매 예상&quot;",https://zdnet.co.kr/view/?no=20210914142716,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002233677,<b>삼성전자</b>가 최근 선보인 갤럭시Z플립3가 올해 폴더블폰 중 가장 많이 팔릴 것이란 전망이 제기됐다. 디스플레이 전문 시장조사업체 디스플레이서플라이체인컨설턴트(DSCC)가 최근 폴더블·롤러블 디스플레이... ,"Tue, 14 Sep 2021 15:08:00 +0900"
"'OS 탑재 강요' 구글, 5년 만에 결론…과징금 2074억",https://www.hankyung.com/it/article/202109144548g,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=015&aid=0004604739,플랫폼 규제에 앞장서고 있는 공정거래위원회가 14일 <b>삼성전자</b> 등 스마트폰 제조사에 자사 안드로이드 운영체제(OS) 탑재를 강요한 혐의로 구글에 2000억원대 과징금을 부과했다. 2016년 7월 구글코리아에 대해... ,"Tue, 14 Sep 2021 15:07:00 +0900"
상반기만 20% 오른 TV 가격…연말에는 잡힐까,http://www.newsis.com/view/?id=NISX20210914_0001583491&cID=13001&pID=13000,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010720349,"14일 업체별 반기보고서에 따르면 <b>삼성전자</b>의 올해 상반기 동안 TV 평균 판매가격은 전년 대비 약 23% 올랐다. LG<b>전자</b>도 19.5% 올랐다. 전년 상반기에 업체별로 평균 판매가격이 각각 약 8%, 3.9%씩 하락했던 상황과는... ","Tue, 14 Sep 2021 15:06:00 +0900"
[단독]&quot;연봉 천만원 인상·자사주 달라&quot;..<b>삼성전자</b> 노조 요구안 '논란',http://www.edaily.co.kr/news/newspath.asp?newsid=03027446629180120,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=105&oid=018&aid=0005037271,<b>삼성전자</b>(005930) 노사가 창사 이래 처음으로 임금 교섭에 돌입한 가운데 일부 노조가 공개한 요구안이 알려지면서 논란이 되고 있다. 복수 노조 중 규모가 가장 큰 전국<b>삼성전자</b>노조가 연봉 1000만원 인상과 자사주... ,"Tue, 14 Sep 2021 15:04:00 +0900"
용인 기흥에 산단 2곳 38만㎡ 조성…“글로벌 반도체 도시 기폭제”,https://www.news1.kr/articles/?4434381,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005603373,또 처인구 원삼면 일대에 조성 중인 ‘용인 반도체클러스터’와 <b>삼성전자</b> 기흥캠퍼스와 시너지를 내며 반도체 장비 국산화를 촉진하고 부품·기술 경쟁력을 높이는 데도 일조할 것으로 기대하고 있다. 경기용인... ,"Tue, 14 Sep 2021 15:04:00 +0900"
"롯데지주, 디자인경영센터장에 배상민 교수 영입",http://theviewers.co.kr/View.aspx?No=2037782,http://theviewers.co.kr/View.aspx?No=2037782,"바이오팀장인 이원직 상무는 지난 2010년 <b>삼성전자</b> 사업추진단에 합류, <b>삼성</b>바이오로직스 품질팀장을 거쳐 DP사업부장을 역임한 바 있다. 이전에는 미국 제약사 BMS에 근무하며 셀트리온 CMO(위탁생산) 프로젝트의... ","Tue, 14 Sep 2021 15:04:00 +0900"
"<b>삼성전자</b> 베트남에서 폴더블폰 생산 확대 추진, 노태문 대중화 자신",https://www.businesspost.co.kr/BP?command=article_view&num=250309,https://www.businesspost.co.kr/BP?command=article_view&num=250309,노태문 <b>삼성전자</b> 무선사업부장 사장이 폴더블 스마트폰 생산량을 대폭 늘릴 것으로 보인다. 세계적으로 인기를 모으는 폴더블 제품군의 물량을 키워 프리미엄시장에서 갤럭시S 시리즈의 부진을 메운다는 계획을 세운... ,"Tue, 14 Sep 2021 15:04:00 +0900"
"공정거래위원회, '자사 OS' 탑재 갑질한 구글에 과징금 2074억원 부과",http://www.koreastocknews.com/news/articleView.html?idxno=66702,http://www.koreastocknews.com/news/articleView.html?idxno=66702,"세종시 어진동 정부세종청사 공정거래위원회 (사진=뉴시스)  공정거래위원회가 <b>삼성전자</b>, LG<b>전자</b> 등 스마트 기기 제조사를 상대로 자사 OS(운영체제) 안드로이드 탑재를 강요한 구글에 시정명령과 과징금 2074억원을... ","Tue, 14 Sep 2021 15:03:00 +0900"
"[이재용 첫 공식활동]金총리와 만나, 청년 일자리 3만개 풀었다",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202109141456212860861,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202109141456212860861,이재용 <b>삼성전자</b> 부회장이 14일 김부겸 국무총리와 만나 청년 일자리 3만개 창출을 약속했다. 이 부회장의 공식적인 대외활동은 지난달 13일 출소 이후 이번이 처음이다. <b>삼성</b>은 국무총리실과 이날 오전 11시 40분 서울... ,"Tue, 14 Sep 2021 15:02:00 +0900"
"“디자인은 전략적 자산”…롯데, 신임 디자인경영센터장·사장에 배상민 교수...",https://www.inthenews.co.kr/news/article.html?no=40205,https://www.inthenews.co.kr/news/article.html?no=40205,바이오팀장인 이원직 상무는 지난 2010년 <b>삼성전자</b> 사업추진단에 합류 <b>삼성</b>바이오로직스 품질팀장을 거쳐 DP사업부장을 역임한 바 있습니다. 이전에는 미국 제약사 BMS에 근무하며 셀트리온 CMO(위탁생산) 프로젝트의... ,"Tue, 14 Sep 2021 15:02:00 +0900"
"&quot;3년간 청년 일자리 3만개 창출&quot;… 김부겸-이재용, 일자리 창출 '맞손'",http://www.youthdaily.co.kr/news/article.html?no=81257,http://www.youthdaily.co.kr/news/article.html?no=81257,"이재용, 출소 후 첫 공식 대외활동… &quot;청년들 희망 위해 기여&quot; 김부겸 &quot;국민 기업다운 <b>삼성</b>의 과감한 투자에 진심으로 감사&quot; 지난달 출소한 이재용 <b>삼성전자</b> 부회장의 첫 번째 공식 대외활동은 '청년 일자리... ","Tue, 14 Sep 2021 15:01:00 +0900"
‘안드로이드 탑재 강요’ 구글에 과징금 2074억 철퇴,http://www.munhwa.com/news/view.html?no=20210914MW145740871098,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=101&oid=021&aid=0002485636,"조성욱 공정위원장 “구글, 경쟁 제한하고 혁신 저해” 구글이 <b>삼성전자</b> 등 기기 제조사에 자사 운영체제(OS) 탑재를 강요하는 ‘갑질’을 벌였다는 혐의로 2000억 원대 과징금을 부과받았다. 플랫폼 사업자에... ","Tue, 14 Sep 2021 15:01:00 +0900"
"“<b>삼성</b>전기, 편안한 영업 환경과 실적 레벨업… 3개 사업부 모두 증익”",https://www.news2day.co.kr/article/20210914500195,https://www.news2day.co.kr/article/20210914500195,김 연구원은 “<b>삼성</b>전기는 지난 수년간 <b>삼성전자</b> 스마트폰에 대한 의존도를 축소시켜 왔다”며 “그럼에도 불구하고 전방산업 중에서 여전히 스마트폰이 차지하는 비중이 크다”고 언급했다. 그는 “모듈솔루션은... ,"Tue, 14 Sep 2021 15:00:00 +0900"
경기 이천시에 반도체마이스터고교 신설 제안 '주목',http://www.newsis.com/view/?id=NISX20210914_0001583409&cID=10803&pID=14000,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010720323,"이천의 경제발전 그랜드 플랜과 SK하이닉스와의 상생방안에 대해서도 언급한 김 의원은 &quot;수원에는 <b>삼성전자</b>, 울산에는 현대자동차, 이천에는 SK하이닉스가 있다. 2016년 이래 SK하이닉스는 현대자동차를 제치고 아직도... ","Tue, 14 Sep 2021 15:00:00 +0900"
"비대면 시대 최적화된 모니터 나온다…<b>삼성전자</b>, '웹캠 모니터' 출시",https://www.cnet.co.kr/view/?no=20210914145213,https://www.cnet.co.kr/view/?no=20210914145213,"<b>삼성전자</b>가 화상 회의에 최적화된 ‘웹캠(Webcam) 모니터’를 14일 북미·유럽·동남아 등 글로벌 주요 시장에 출시한다고 14일 밝혔다.<b>삼성</b> 웹캠 모니터(모델명: S40VA, 24형)는 필요한 때만 꺼내 쓸 수 있도록 화상... ","Tue, 14 Sep 2021 15:00:00 +0900"
김부겸·이재용의 '이심전심' 청년일자리 3만개 추가로 만든다,https://www.inthenews.co.kr/news/article.html?no=40203,https://www.inthenews.co.kr/news/article.html?no=40203,"<b>삼성</b>그룹, 김부겸 국무총리 주도 '청년희망 ON' 프로젝트 참여 이재용 <b>삼성전자</b> 부회장 가석방 후 첫 공식행사 참석 인더뉴스 김용운 기자ㅣ<b>삼성</b>그룹이 정부가 진행하는 '청년희망ON' 프로젝트와 파트너십을 맺고 앞으로... ","Tue, 14 Sep 2021 14:59:00 +0900"
"구글, OS시장진입 방해등 과징금 2074억원 부과..공정위 &quot;스마크 기기용 OS개...",http://www.kdpress.co.kr/news/articleView.html?idxno=106484,http://www.kdpress.co.kr/news/articleView.html?idxno=106484,"공정위에 따르면, 구글은 <b>삼성전자</b> 등 기기제조사에게 안드로이드 변형 OS(포크 OS)탑재 기기를 생산하지 못하게 하는 행위로 경쟁 OS의 시장진입을 방해하고 혁신을 저해해 시정명령과 함께 이같은 부과 결정을... ","Tue, 14 Sep 2021 14:59:00 +0900"
